fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
28033,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-16,2020-03-20,2020-03-16,2020-03-22,2020-03-22,,
28049,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-16,2020-03-31,2020-03-31,,
28059,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-16,2020-03-31,2020-03-31,,
29095,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-24,2020-03-23,2020-03-24,2020-03-24,
29183,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-04-06,2020-03-23,2020-04-06,,
29189,2020-03-13,2020-03-15,2020-03-19,2020-03-19,2020-03-18,2020-03-23,2020-03-23,2020-03-13,2020-03-23,2020-03-21,
29510,2020-03-13,2020-03-16,2020-03-20,2020-03-20,2020-03-18,2020-03-19,2020-03-23,2020-03-20,2020-03-23,2020-03-20,
30031,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-15,2020-03-16,2020-03-26,2020-03-26,2020-03-26,2020-03-26,
31055,2020-03-16,2020-03-16,2020-03-18,2020-03-18,2020-03-16,2020-03-16,2020-04-03,2020-03-18,,2020-04-03,
32003,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-31,2020-03-24,
32031,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-03-31,2020-03-24,
33011,2020-03-16,2020-03-16,2020-03-23,2020-03-23,2020-03-16,2020-03-16,2020-03-20,2020-04-13,2020-03-27,2020-04-13,
33015,2020-03-16,2020-03-16,2020-03-23,2020-03-23,2020-03-16,2020-03-16,2020-03-20,2020-04-13,2020-03-27,2020-04-13,
34001,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34003,2020-03-12,2020-03-18,,,2020-03-18,2020-03-17,2020-03-17,2020-03-10,2020-03-21,2020-03-25,
34005,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34007,2020-03-12,2020-03-18,,,2020-03-18,2020-03-16,2020-03-14,2020-03-21,2020-03-21,2020-03-25,
34013,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34015,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34017,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34019,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
